"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5624,1,80941,91384,96830,107222,112945,119432,122842,127840,136908,141696,141696,0,0,0,0,0,0,0,0
5625,1,97296,107927,120100,126674,131895,134420,135841,139787,147334,147334,151730,156507,156507,160305,160305,161956,163583,174183,178346
5626,1,105822,109396,110836,117441,124462,127631,139167,153951,169576,176091,188924,198883,201309,201309,206192,214981,227250,248689,266807
5627,1,99447,105010,113353,123381,131282,142828,142828,153888,173152,182295,182295,0,0,0,0,0,0,0,0
5628,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
5629,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,188023,192645,192645,192645,194993,202900,209374,242831,252289
5630,1,261824,288022,312922,331011,352550,371303,384592,417708,445450,461027,467650,478258,488840,0,0,0,0,0,0
5631,1,154114,159320,161417,171036,181261,185876,202677,224208,246964,256451,275142,289645,293178,293178,300289,313090,330958,362181,388566
5632,1,140241,146787,154337,167976,173775,183048,186345,187870,191081,192690,194265,195900,195900,199569,199569,205737,211777,239186,247631
5633,1,117879,133088,141020,156154,164488,173937,178902,186181,199388,206361,206361,215952,215952,215952,215952,221876,221876,227050,227050
5634,1,140241,146787,154337,167976,173775,183048,186345,187870,191081,192690,194265,195900,195900,199569,199569,205737,211777,239186,247631
5635,1,159710,186995,195498,212132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5636,1,159710,186995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5637,1,117879,133088,141020,156154,164488,173937,178902,186181,199388,206361,206361,215952,215952,215952,215952,221876,221876,227050,227050
5638,1,141698,157181,174909,184482,192086,195764,197833,203580,214571,214571,220974,227930,227930,233462,233462,235867,238236,253674,259736
5639,1,132515,136721,145286,157556,166422,174051,184810,212311,230516,235098,248870,257564,257564,257564,260294,266183,269099,285341,285341
5640,1,152718,168386,170918,177001,184879,191520,0,0,0,0,0,0,0,0,0,0,0,0,0
5641,1,321630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5642,1,259712,282210,298581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5643,1,256112,272656,280723,292716,305873,317217,329933,347442,369859,379415,394403,404034,421084,429619,444292,469113,485234,522024,532570
5644,1,321630,347575,375606,404686,421421,440315,470500,509109,527279,536143,551821,563601,570682,580980,591031,610227,636453,664585,692093
5645,1,280353,301782,311166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5646,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
5647,1,279754,300084,313323,326691,341189,351576,369158,374485,392382,399714,415889,425933,431494,438738,453760,474317,477715,484903,510373
5648,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
5649,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
5650,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,0,0,0,0,0,0,0,0,0,0
5651,1,242668,277349,288022,311802,321495,332698,0,0,0,0,0,0,0,0,0,0,0,0,0
5652,1,226566,235253,253700,266839,273501,306263,313081,315821,339386,360396,368887,381786,381786,394899,399178,415971,415971,450921,0
5653,1,234571,260202,289550,305398,317985,324073,327500,337013,355207,355207,365807,377323,377323,386480,386480,390461,394383,419939,429975
5654,1,250421,266597,274485,286212,299076,310168,322601,339721,361640,370984,385638,395056,411726,420072,434419,458689,474451,510424,520735
5655,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,454738,466200,485118,505971
5656,1,253941,275939,291946,309668,328216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5657,1,298759,332140,360781,395343,423882,439037,473918,505435,531226,548139,560097,569412,576826,587070,602475,625085,648676,698311,728371
